id,neo_id,approach_datetime,approach_date,orbiting_body,miss_distance_miles,relative_velocity_mph,import_run_id
1,3638287,"2026-02-01 15:33:00",2026-02-01,Earth,33053380.724380,48210.049027,2
2,3781315,"2026-02-01 17:28:00",2026-02-01,Earth,30778809.728387,43540.498963,2
3,3825562,"2026-02-01 21:43:00",2026-02-01,Earth,15723764.876587,17532.100834,2
4,3837603,"2026-02-01 21:14:00",2026-02-01,Earth,26136725.464765,31564.778930,2
5,3843476,"2026-02-01 14:59:00",2026-02-01,Earth,45689310.263224,63829.301688,2
6,54244189,"2026-02-01 01:15:00",2026-02-01,Earth,26835325.008624,24490.058893,2
7,54395898,"2026-02-01 21:22:00",2026-02-01,Earth,38107102.680301,45946.090970,2
8,54575760,"2026-02-01 07:48:00",2026-02-01,Earth,7994625.202321,34244.397920,2
9,54577401,"2026-02-01 10:05:00",2026-02-01,Earth,1502325.727537,12714.626854,2
10,54580785,"2026-02-01 13:51:00",2026-02-01,Earth,3393717.850950,15595.641113,2
11,3725653,"2026-02-02 01:35:00",2026-02-02,Earth,34127477.616950,45235.319448,3
12,3799299,"2026-02-02 07:00:00",2026-02-02,Earth,5535079.170550,16563.458151,3
13,54245563,"2026-02-02 20:14:00",2026-02-02,Earth,20487706.124015,40315.457547,3
14,54245582,"2026-02-02 20:24:00",2026-02-02,Earth,6717130.316305,24710.381567,3
15,54494481,"2026-02-02 13:04:00",2026-02-02,Earth,30131446.179186,35701.928570,3
16,54518077,"2026-02-02 09:52:00",2026-02-02,Earth,5387281.911635,33645.842826,3
17,54575243,"2026-02-02 02:28:00",2026-02-02,Earth,16994269.597538,19280.171386,3
18,54580786,"2026-02-02 23:04:00",2026-02-02,Earth,1796702.840360,19610.184998,3
19,54580787,"2026-02-02 13:05:00",2026-02-02,Earth,604403.493609,27768.974125,3
20,54597150,"2026-02-02 09:17:00",2026-02-02,Earth,13527014.129594,5024.438889,3
21,54602008,"2026-02-02 17:58:00",2026-02-02,Earth,1541644.248724,12685.734534,3
22,3028810,"2026-02-03 03:42:00",2026-02-03,Earth,10398069.523540,44178.826130,4
23,3368734,"2026-02-03 10:01:00",2026-02-03,Earth,22772516.601750,17880.659548,4
24,3698842,"2026-02-03 18:12:00",2026-02-03,Earth,28427735.918143,28900.686834,4
25,3709453,"2026-02-03 21:53:00",2026-02-03,Earth,5639502.292942,20672.400570,4
26,3727640,"2026-02-03 12:21:00",2026-02-03,Earth,27598909.686887,23299.293362,4
27,3742342,"2026-02-03 19:20:00",2026-02-03,Earth,8301879.111125,37421.960829,4
28,3767035,"2026-02-03 22:14:00",2026-02-03,Earth,12676209.148700,10883.526152,4
29,3767164,"2026-02-03 10:58:00",2026-02-03,Earth,30573656.394683,41756.321895,4
30,3986731,"2026-02-03 05:24:00",2026-02-03,Earth,28790653.594810,31524.679466,4
31,3989652,"2026-02-03 03:14:00",2026-02-03,Earth,17839685.344737,29304.402835,4
32,54087485,"2026-02-03 20:26:00",2026-02-03,Earth,23472056.737524,31135.849896,4
33,54107791,"2026-02-03 17:05:00",2026-02-03,Earth,39819877.182829,58907.178678,4
