neo_id,name,is_potentially_hazardous,diameter_km_min,diameter_km_max
2276033,"276033 (2002 AJ129)",1,0.466181,1.042413
2367943,"367943 Duende (2012 DA14)",0,0.038597,0.086306
2513529,"513529 (2010 CR1)",0,0.542694,1.213501
2679657,"679657 (2020 BE15)",0,0.260949,0.583499
2790064,"790064 (2018 LM4)",0,0.481454,1.076564
3028810,"(2000 CP101)",1,0.278327,0.622358
3092390,"(2001 UP)",0,0.019256,0.043057
3137864,"(2002 TS69)",0,0.035039,0.078350
3365986,"(2007 AV2)",1,0.155080,0.346769
3368734,"(2007 DH8)",0,0.027833,0.062236
3449121,"(2009 EW)",0,0.013949,0.031192
3467218,"(2009 SY)",0,0.067074,0.149982
3550117,"(2010 VB)",0,0.020163,0.045086
3552653,"(2010 WT8)",0,0.104847,0.234444
3557784,"(2011 BX59)",0,0.031956,0.071456
3599873,"(2012 DS32)",0,0.014607,0.032662
3625130,"(2013 BT45)",0,0.063761,0.063761
3638287,"(2013 JL14)",0,0.033462,0.074824
3698842,"(2014 WQ202)",0,0.045767,0.102339
3709453,"(2015 CB)",0,0.060891,0.136157
3719864,"(2015 KP57)",0,0.027833,0.062236
3725653,"(2015 PU56)",0,0.066766,0.149293
3727640,"(2015 SA)",0,0.023150,0.051765
3736807,"(2015 YA)",0,0.008801,0.019681
3742342,"(2016 CL136)",1,0.142087,0.317717
3759775,"(2016 SL3)",0,0.026580,0.059435
3767035,"(2017 BF29)",0,0.020256,0.045294
3767164,"(2017 BO30)",0,0.044112,0.098637
3767167,"(2017 BW30)",0,0.046191,0.103286
3767259,"(2017 BP32)",0,0.056047,0.125326
3768620,"(2017 CR1)",0,0.007321,0.016370
3769750,"(2017 DJ16)",0,0.018389,0.041119
3769809,"(2017 DR34)",0,0.003842,0.008591
3781315,"(2017 QN35)",0,0.018389,0.041119
3789423,"(2017 VZ14)",0,0.025384,0.056760
3795122,"(2017 YG7)",0,0.030518,0.068240
3795152,"(2017 YC8)",0,0.375452,0.839537
3799250,"(2018 CE1)",0,0.163138,0.364788
3799253,"(2018 CA1)",0,0.024241,0.054205
3799299,"(2018 CS2)",0,0.021113,0.047211
3799637,"(2018 CW13)",0,0.273247,0.610998
